title,link
Skip to content,https://www.bbc.com/news/#main-content
British Broadcasting Corporation,https://www.bbc.com/news/
Watch Live,https://www.bbc.com/news/watch-live-news/
Home,https://www.bbc.com/news/
News,https://www.bbc.com/news/news
Sport,https://www.bbc.com/news/sport
Business,https://www.bbc.com/news/business
Innovation,https://www.bbc.com/news/innovation
Culture,https://www.bbc.com/news/culture
Arts,https://www.bbc.com/news/arts
Travel,https://www.bbc.com/news/travel
Earth,https://www.bbc.com/news/future-planet
Audio,https://www.bbc.com/news/audio
Video,https://www.bbc.com/news/video
Live,https://www.bbc.com/news/live
Israel-Gaza War,https://www.bbc.com/news/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/news/us-canada
UK,https://www.bbc.com/news/news/uk
Africa,https://www.bbc.com/news/news/world/africa
Asia,https://www.bbc.com/news/news/world/asia
Australia,https://www.bbc.com/news/news/world/australia
Europe,https://www.bbc.com/news/news/world/europe
Latin America,https://www.bbc.com/news/news/world/latin_america
Middle East,https://www.bbc.com/news/news/world/middle_east
In Pictures,https://www.bbc.com/news/news/in_pictures
BBC InDepth,https://www.bbc.com/news/news/bbcindepth
BBC Verify,https://www.bbc.com/news/news/bbcverify
Home,https://www.bbc.com/news/home
News,https://www.bbc.com/news/news
Israel-Gaza War,https://www.bbc.com/news/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/news/us-canada
UK,https://www.bbc.com/news/news/uk
UK Politics,https://www.bbc.com/news/news/politics
England,https://www.bbc.com/news/news/england
N. Ireland,https://www.bbc.com/news/news/northern_ireland
N. Ireland Politics,https://www.bbc.com/news/news/northern_ireland/northern_ireland_politics
Scotland,https://www.bbc.com/news/news/scotland
Scotland Politics,https://www.bbc.com/news/news/scotland/scotland_politics
Wales,https://www.bbc.com/news/news/wales
Wales Politics,https://www.bbc.com/news/news/wales/wales_politics
Africa,https://www.bbc.com/news/news/world/africa
Asia,https://www.bbc.com/news/news/world/asia
China,https://www.bbc.com/news/news/world/asia/china
India,https://www.bbc.com/news/news/world/asia/india
Australia,https://www.bbc.com/news/news/world/australia
Europe,https://www.bbc.com/news/news/world/europe
Latin America,https://www.bbc.com/news/news/world/latin_america
Middle East,https://www.bbc.com/news/news/world/middle_east
In Pictures,https://www.bbc.com/news/news/in_pictures
BBC InDepth,https://www.bbc.com/news/news/bbcindepth
BBC Verify,https://www.bbc.com/news/news/bbcverify
Sport,https://www.bbc.com/news/sport
Business,https://www.bbc.com/news/business
Executive Lounge,https://www.bbc.com/news/business/executive-lounge
Technology of Business,https://www.bbc.com/news/business/technology-of-business
Future of Business,https://www.bbc.com/news/business/future-of-business
Innovation,https://www.bbc.com/news/innovation
Technology,https://www.bbc.com/news/innovation/technology
Science & Health,https://www.bbc.com/news/innovation/science
Artificial Intelligence,https://www.bbc.com/news/innovation/artificial-intelligence
AI v the Mind,https://www.bbc.com/news/innovation/ai-v-the-mind
Culture,https://www.bbc.com/news/culture
Film & TV,https://www.bbc.com/news/culture/film-tv
Music,https://www.bbc.com/news/culture/music
Art & Design,https://www.bbc.com/news/culture/art
Style,https://www.bbc.com/news/culture/style
Books,https://www.bbc.com/news/culture/books
Entertainment News,https://www.bbc.com/news/culture/entertainment-news
Arts,https://www.bbc.com/news/arts
Arts in Motion,https://www.bbc.com/news/arts/arts-in-motion
Travel,https://www.bbc.com/news/travel
Destinations,https://www.bbc.com/news/travel/destinations
Africa,https://www.bbc.com/news/travel/destinations/africa
Antarctica,https://www.bbc.com/news/travel/destinations/antarctica
Asia,https://www.bbc.com/news/travel/destinations/asia
Australia and Pacific,https://www.bbc.com/news/travel/destinations/australia-and-pacific
Caribbean & Bermuda,https://www.bbc.com/news/travel/destinations/caribbean
Central America,https://www.bbc.com/news/travel/destinations/central-america
Europe,https://www.bbc.com/news/travel/destinations/europe
Middle East,https://www.bbc.com/news/travel/destinations/middle-east
North America,https://www.bbc.com/news/travel/destinations/north-america
South America,https://www.bbc.com/news/travel/destinations/south-america
World’s Table,https://www.bbc.com/news/travel/worlds-table
Culture & Experiences,https://www.bbc.com/news/travel/cultural-experiences
Adventures,https://www.bbc.com/news/travel/adventures
The SpeciaList,https://www.bbc.com/news/travel/specialist
Earth,https://www.bbc.com/news/future-planet
Natural Wonders,https://www.bbc.com/news/future-planet/natural-wonders
Weather & Science,https://www.bbc.com/news/future-planet/weather-science
Climate Solutions,https://www.bbc.com/news/future-planet/solutions
Sustainable Business,https://www.bbc.com/news/future-planet/sustainable-business
Green Living,https://www.bbc.com/news/future-planet/green-living
Audio,https://www.bbc.com/news/audio
Podcasts,https://www.bbc.com/news/audio/categories
Radio,https://www.bbc.com/news/audio/stations
Video,https://www.bbc.com/news/video
Live,https://www.bbc.com/news/live
Live News,https://www.bbc.com/news/live/news
Live Sport,https://www.bbc.com/news/live/sport
Home,https://www.bbc.com/news/
Sport,https://www.bbc.com/news/sport
Video,https://www.bbc.com/news/video
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
"LIVEFrance will host European leaders' summit on Ukraine as US and Russia prepare for peace talksDonald Trump said earlier this week he and Russian President Vladimir Putin had agreed talks could start ""immediately"".",https://www.bbc.com/news/live/crr0gngkjrvt
Trump administration's mixed messaging on foreign policy leaves world guessingDifferent narratives from senior US officials on the future of Ukraine have sown confusion in Europe - but was that perhaps the point?5 hrs agoUS & Canada,https://www.bbc.com/news/news/articles/crr0gkn1qlzo
LIVEStars head to Bafta red carpet as Conclave leads film nominationsDavid Tennant will host the ceremony in the biggest night of British cinema at London's Royal Festival Hall.,https://www.bbc.com/news/live/cde90y91pznt
'I was barely breathing': Families recount deadly Delhi station crushEyewitnesses and relatives of victims spoke of their pain and trauma after a crush at an overcrowded railway station claimed 18 lives.2 hrs agoAsia,https://www.bbc.com/news/news/articles/cn8x3kjd7zzo
Are noise-cancelling headphones to blame for young people's hearing problems?More young people are presenting to audiology teams in England with difficulty processing sound.14 hrs ago,https://www.bbc.com/news/news/articles/cgkjvr7x5x6o
Trump administration's mixed messaging on foreign policy leaves world guessingDifferent narratives from senior US officials on the future of Ukraine have sown confusion in Europe - but was that perhaps the point?5 hrs agoUS & Canada,https://www.bbc.com/news/news/articles/crr0gkn1qlzo
"One year on: Did democratic opposition in Russia die with Alexei Navalny?For years, Navalny was Vladimir Putin's biggest political rival, but now the Russian opposition is weaker than ever.13 hrs agoBBC InDepth",https://www.bbc.com/news/news/articles/cgly78j5ny8o
"Netanyahu praises Trump's 'bold vision' for Gaza at Rubio meetingThe Israeli prime minister said he is working with the US on a ""common strategy"" for Gaza.54 mins agoWorld",https://www.bbc.com/news/news/articles/cz9eddnnq4go
Three fights in first nine seconds as US beat Canada in ice hockeyA 4 Nations game between the USA and Canada descends into chaos with three fights breaking out between players in the first nine seconds.3 hrs agoIce Hockey,https://www.bbc.com/news/sport/ice-hockey/articles/c70k2pwkrj1o
LIVEStars head to Bafta red carpet as Conclave leads film nominationsDavid Tennant will host the ceremony in the biggest night of British cinema at London's Royal Festival Hall.,https://www.bbc.com/news/live/cde90y91pznt
"Austria stabbing that killed teen was linked to IS, says minister15 mins agoEurope",https://www.bbc.com/news/news/articles/cjw4jj0p5jdo
Mali illegal gold mine collapse kills more than 402 hrs agoAfrica,https://www.bbc.com/news/news/articles/c87d9z4g5ywo
World's 'first openly gay imam' shot dead in South Africa2 hrs agoAfrica,https://www.bbc.com/news/news/articles/c05l33j7rq7o
The A-level student who became an enemy of the Chinese state14 hrs agoAsia,https://www.bbc.com/news/news/articles/c93lp2wd0qzo
Scattered anti-Musk protests target Tesla dealerships14 hrs agoTechnology,https://www.bbc.com/news/news/articles/cvgm21zjggro
Top US envoy to meet Russian officials for Ukraine peace talksUS officials say direct talks with Russia - the first such talks since its invasion of Ukraine - will not involve Kyiv's European allies.10 hrs agoWorld,https://www.bbc.com/news/news/articles/cx2p7wj3yq1o
"From the Gulf of America to Fort Bragg, what's behind Trump's name changes?Donald Trump's renaming of the Gulf of Mexico and other landmarks suggests his greater vision for America6 hrs agoUS & Canada",https://www.bbc.com/news/news/articles/cwypzzey425o
"JD Vance's blast at Europe ignores Ukraine and defence agendaInstead, US Vice President JD Vance shocked delegates by roundly attacking Washington's allies, accusing them of censorship.24 hrs agoWorld",https://www.bbc.com/news/news/articles/c4g9nmeyzkjo
Mouldy food and secret files: What Iran left in rapid retreat from SyriaThe BBC examines the chaos left behind after Iran had to abandon its military bases in Syria.14 hrs agoMiddle East,https://www.bbc.com/news/news/articles/cjw4egp7lwno
"'Montoya, por favor!': How the Spanish reality show broke the internetAs clips from Spain's Temptation Island go viral, the BBC speaks to the show's executive producer.14 hrs agoCulture",https://www.bbc.com/news/news/articles/cp3wgwpd7r0o
Mapping China's influence around the Panama CanalA close-up look at Chinese projects that worry the White House.,https://www.bbc.co.uk/news/resources/idt-943c9a5e-32c0-4eae-8abb-4d9c4c6eae1e
Why Uganda's iconic crested crane faces extinctionThe population of the national bird is declining partly due to encroachment on wetlands by farmers.11 hrs agoAfrica,https://www.bbc.com/news/news/articles/cm21r7qd16ro
'We quit our jobs and sold our house to travel the world with the kids'The Hutchinsons say selling their home and travelling the world with their daughters has saved them.8 hrs agoNorthamptonshire,https://www.bbc.com/news/news/articles/c897j2jl5kxo
"'Montoya, por favor!': How the Spanish reality show broke the internetAs clips from Spain's Temptation Island go viral, the BBC speaks to the show's executive producer.14 hrs agoCulture",https://www.bbc.com/news/news/articles/cp3wgwpd7r0o
"'This battle is my day job - I won't stop until I have my £620m of Bitcoin back'James Howells claimed his ex-girlfriend threw out the hard drive, today worth £620m, in 2013.7 hrs agoWales",https://www.bbc.com/news/news/articles/czdl6er0369o
What tortoises teach us about a happy life aloneSolitary lifestyles can have some big advantages in the animal world. Can humans learn anything from them?,https://www.bbc.com/future/article/20250213-the-overlooked-advantages-of-being-a-solitary-animal
Mapping China's influence around the Panama CanalA close-up look at Chinese projects that worry the White House.,https://www.bbc.co.uk/news/resources/idt-943c9a5e-32c0-4eae-8abb-4d9c4c6eae1e
1Dancing in the street: Dozens perform Strip The Willow,https://www.bbc.com/news/news/videos/c9vmw79mgyko
2JD Vance 'misinformed' on Scotland's abortion buffer zones,https://www.bbc.com/news/news/videos/c5y61gd0n3zo
3Vance on Europe: 'I worry about the threat from within',https://www.bbc.com/news/news/videos/c17ekkwweeno
4At the scene of fatal Valentine's Day pub shooting,https://www.bbc.com/news/news/videos/c8ed00317pzo
5Peruvian policeman in capybara costume makes Valentine's drug bust,https://www.bbc.com/news/news/videos/cjr8wexly4xo
"New York police charge five with 'disturbing' murder of trans manPolice said the victim suffered ""prolonged physical and psychological abuse at the hands of multiple individuals"" before his death.20 hrs agoUS & Canada",https://www.bbc.com/news/news/articles/c391grm0g3no
"Critics say new Google rules put profits over privacyGoogle is allowing advertisers to collect more personal information, which is harder for users to control.14 hrs agoTechnology",https://www.bbc.com/news/news/articles/cm21g0052dno
French customs seize dinosaur teeth found in lorryThe teeth belonging to creatures from roughly 70 million years ago were discoveredin a lorry.20 hrs agoEurope,https://www.bbc.com/news/news/articles/cqx95zyzyv7o
British couple held in Iran during motorbike trip named as family urge safe returnCraig and Lindsay Foreman were travelling through Iran as part of a motorbike trip across the world.22 hrs agoMiddle East,https://www.bbc.com/news/news/articles/c626p6pz7xlo
Mother and child die from injuries after Munich car attackThe 37-year-old woman and two-year-old child are the first fatalities from Thursday's attack.20 hrs agoEurope,https://www.bbc.com/news/news/articles/czrl51mz7k8o
"Critics say new Google rules put profits over privacyGoogle is allowing advertisers to collect more personal information, which is harder for users to control.14 hrs agoTechnology",https://www.bbc.com/news/news/articles/cm21g0052dno
"'I believe in my guide runner more than myself', says blind Indian athleteTwo of India’s top visually impaired female athletes share the challenges of finding the perfect guide runner.13 hrs agoAsia",https://www.bbc.com/news/news/articles/cvgezm9per7o
"Angry neighbours dub inflatable dome 'enormous zit'The blow-up dome, which houses tennis courts, has caused uproar among residents of Edinburgh's plush Stockbridge.3 hrs agoEdinburgh, Fife & East",https://www.bbc.com/news/news/articles/cvgpj82j7qqo
Gunfire and looting in DR Congo city as rebels advanceResidents in the Congolese city tell the BBC they are hiding in their homes as the rebels advance.20 hrs agoAfrica,https://www.bbc.com/news/news/articles/c1m5dppk5xmo
French customs seize dinosaur teeth found in lorryThe teeth belonging to creatures from roughly 70 million years ago were discoveredin a lorry.20 hrs agoEurope,https://www.bbc.com/news/news/articles/cqx95zyzyv7o
1Trump administration's mixed messaging on foreign policy leaves world guessing,https://www.bbc.com/news/news/articles/crr0gkn1qlzo
2Iran's abandoned bases in Syria: Years of military expansion lie in ruins,https://www.bbc.com/news/news/articles/cjw4egp7lwno
3Are noise-cancelling headphones to blame for young people's hearing problems?,https://www.bbc.com/news/news/articles/cgkjvr7x5x6o
4US government struggles to rehire nuclear safety staff it laid off days ago,https://www.bbc.com/news/news/articles/c4g3nrx1dq5o
5Nigeria angered after military chief denied Canada entry,https://www.bbc.com/news/news/articles/c17eky00r5ro
"6From the Gulf of America to Fort Bragg, what's behind Trump's name changes?",https://www.bbc.com/news/news/articles/cwypzzey425o
7World's 'first openly gay imam' shot dead in South Africa,https://www.bbc.com/news/news/articles/c05l33j7rq7o
8One year on: Did democratic opposition in Russia die with Alexei Navalny?,https://www.bbc.com/news/news/articles/cgly78j5ny8o
9The A-level student who became an enemy of the Chinese state,https://www.bbc.com/news/news/articles/c93lp2wd0qzo
10Families heartbreak after deadly Delhi railway station crush,https://www.bbc.com/news/news/articles/cn8x3kjd7zzo
LIVEPremier League: Leaders Liverpool host WolvesFollow live text coverage and BBC Radio commentaries as Liverpool host Wolves in the Premier League.,https://www.bbc.com/sport/football/live/c78w071g71gt
"LIVEScottish Premiership: Reaction as McCart's two own goals help Rangers beat HeartsFollow live radio and text commentary, score updates and match report from Hearts vs Rangers in the Scottish Premiership.",https://www.bbc.com/sport/football/live/cp8q4de7ndmt
Three fights in opening nine seconds and anthem booed as US beat CanadaA 4 Nations game between the USA and Canada descends into chaos with three fights breaking out between players in the first nine seconds.3 hrs agoIce Hockey,https://www.bbc.com/news/sport/ice-hockey/articles/c70k2pwkrj1o
Kiplimo runs sub-57 to shatter half marathon recordUganda's Jacob Kiplimo shatters the half marathon record at a World Athletics event in Barcelona.3 hrs agoAthletics,https://www.bbc.com/news/sport/athletics/articles/cj65lj9ledro
"'He can smell danger' - is Merino Arsenal's striker solution?Mikel Merino makes his case to be Arsenal's striker solution after his match-winning heroics in the vital victory at Leicester, says BBC Sport chief football writer Phil McNulty.21 hrs agoArsenal",https://www.bbc.com/news/sport/football/articles/c0m1d4z9vdro
"LIVEScottish Premiership: Reaction as McCart's two own goals help Rangers beat HeartsFollow live radio and text commentary, score updates and match report from Hearts vs Rangers in the Scottish Premiership.",https://www.bbc.com/sport/football/live/cp8q4de7ndmt
"LIVEScottish Premiership: Can Hibs extend unbeaten run at St Mirren?Follow live text and radio commentary, score updates and match stats from St Mirren vs Hibernian in the Scottish Premiership.",https://www.bbc.com/sport/football/live/c4gpkrzw9vrt
Irish jockey O'Sullivan dies after Thurles fallIrish jockey Michael O'Sullivan has died aged 24 after a fall at Thurles earlier this month.5 hrs agoHorse Racing,https://www.bbc.com/news/sport/horse-racing/articles/cg5yr9e42jro
Three fights in opening nine seconds and anthem booed as US beat CanadaA 4 Nations game between the USA and Canada descends into chaos with three fights breaking out between players in the first nine seconds.3 hrs agoIce Hockey,https://www.bbc.com/news/sport/ice-hockey/articles/c70k2pwkrj1o
British Broadcasting Corporation,https://www.bbc.com/news/
Home,https://www.bbc.com/
News,https://www.bbc.com/news/news
Sport,https://www.bbc.com/news/sport
Business,https://www.bbc.com/news/business
Innovation,https://www.bbc.com/news/innovation
Culture,https://www.bbc.com/news/culture
Arts,https://www.bbc.com/news/arts
Travel,https://www.bbc.com/news/travel
Earth,https://www.bbc.com/news/future-planet
Audio,https://www.bbc.com/news/audio
Video,https://www.bbc.com/news/video
Live,https://www.bbc.com/news/live
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
